FECHA,ANNO,MES,DIA,ESTADO MP10,"ESTADO MP2,5"
2015-04-01,2015,4,1,BUENO ,BUENO
2015-04-02,2015,4,2,BUENO ,BUENO
2015-04-03,2015,4,3,BUENO ,BUENO
2015-04-04,2015,4,4,BUENO ,BUENO
2015-04-05,2015,4,5,BUENO ,BUENO
2015-04-06,2015,4,6,BUENO ,BUENO
2015-04-07,2015,4,7,BUENO ,BUENO
2015-04-08,2015,4,8,BUENO ,BUENO
2015-04-09,2015,4,9,BUENO ,BUENO
2015-04-10,2015,4,10,BUENO ,BUENO
2015-04-11,2015,4,11,BUENO ,BUENO
2015-04-12,2015,4,12,BUENO ,BUENO
2015-04-13,2015,4,13,BUENO ,BUENO
2015-04-14,2015,4,14,BUENO ,BUENO
2015-04-15,2015,4,15,BUENO ,BUENO
2015-04-16,2015,4,16,BUENO ,BUENO
2015-04-17,2015,4,17,BUENO ,BUENO
2015-04-18,2015,4,18,BUENO ,BUENO
2015-04-19,2015,4,19,BUENO ,BUENO
2015-04-20,2015,4,20,BUENO ,BUENO
2015-04-21,2015,4,21,BUENO ,BUENO
2015-04-22,2015,4,22,REGULAR ,REGULAR
2015-04-23,2015,4,23,REGULAR ,REGULAR
2015-04-24,2015,4,24,REGULAR ,REGULAR
2015-04-25,2015,4,25,REGULAR ,REGULAR
2015-04-26,2015,4,26,REGULAR ,REGULAR
2015-04-27,2015,4,27,REGULAR ,REGULAR
2015-04-28,2015,4,28,REGULAR ,REGULAR
2015-04-29,2015,4,29,REGULAR ,REGULAR
2015-04-30,2015,4,30,REGULAR ,REGULAR
2015-05-01,2015,5,1,REGULAR ,REGULAR
2015-05-02,2015,5,2,REGULAR ,REGULAR
2015-05-03,2015,5,3,REGULAR ,REGULAR
2015-05-04,2015,5,4,REGULAR ,REGULAR
2015-05-05,2015,5,5,REGULAR ,REGULAR
2015-05-06,2015,5,6,REGULAR ,REGULAR
2015-05-07,2015,5,7,REGULAR ,REGULAR
2015-05-08,2015,5,8,REGULAR ,REGULAR
2015-05-09,2015,5,9,REGULAR ,REGULAR
2015-05-10,2015,5,10,REGULAR ,REGULAR
2015-05-11,2015,5,11,ALERTA ,ALERTA
2015-05-12,2015,5,12,REGULAR ,REGULAR
2015-05-13,2015,5,13,REGULAR ,REGULAR
2015-05-14,2015,5,14,ALERTA ,ALERTA
2015-05-15,2015,5,15,REGULAR ,REGULAR
2015-05-16,2015,5,16,ALERTA ,ALERTA
2015-05-17,2015,5,17,REGULAR ,REGULAR
2015-05-18,2015,5,18,ALERTA ,ALERTA
2015-05-19,2015,5,19,ALERTA ,ALERTA
2015-05-20,2015,5,20,REGULAR ,REGULAR
2015-05-21,2015,5,21,REGULAR ,REGULAR
2015-05-22,2015,5,22,REGULAR ,REGULAR
2015-05-23,2015,5,23,REGULAR ,REGULAR
2015-05-24,2015,5,24,ALERTA ,ALERTA
2015-05-25,2015,5,25,ALERTA ,ALERTA
2015-05-26,2015,5,26,ALERTA ,ALERTA
2015-05-27,2015,5,27,ALERTA ,ALERTA
2015-05-28,2015,5,28,ALERTA ,ALERTA
2015-05-29,2015,5,29,ALERTA ,ALERTA
2015-05-30,2015,5,30,REGULAR ,REGULAR
2015-05-31,2015,5,31,REGULAR ,REGULAR
2015-06-01,2015,6,1,ALERTA ,ALERTA
2015-06-02,2015,6,2,ALERTA ,ALERTA
2015-06-03,2015,6,3,ALERTA ,ALERTA
2015-06-04,2015,6,4,ALERTA ,ALERTA
2015-06-05,2015,6,5,PREEMERGENCIA ,PREEMERGENCIA
2015-06-06,2015,6,6,ALERTA ,ALERTA
2015-06-07,2015,6,7,REGULAR ,REGULAR
2015-06-08,2015,6,8,REGULAR ,REGULAR
2015-06-10,2015,6,10,REGULAR ,REGULAR
2015-06-11,2015,6,11,REGULAR ,REGULAR
2015-06-12,2015,6,12,REGULAR ,REGULAR
2015-06-13,2015,6,13,ALERTA ,ALERTA
2015-06-14,2015,6,14,ALERTA ,ALERTA
2015-06-15,2015,6,15,ALERTA ,ALERTA
2015-06-16,2015,6,16,ALERTA ,PREEMERGENCIA
2015-06-17,2015,6,17,ALERTA ,ALERTA
2015-06-18,2015,6,18,ALERTA ,ALERTA
2015-06-19,2015,6,19,PREEMERGENCIA,PREEMERGENCIA
2015-06-20,2015,6,20,ALERTA,PREEMERGENCIA
2015-06-21,2015,6,21,PRE EMERGENCIA,PREEMERGENCIA
2015-06-22,2015,6,22,PRE EMERGENCIA,EMERGENCIA
2015-06-23,2015,6,23,PREEMERGENCIA,PREEMERGENCIA
2015-06-24,2015,6,24,ALERTA ,ALERTA
2015-06-25,2015,6,25,ALERTA ,ALERTA
2015-06-26,2015,6,26,ALERTA ,ALERTA
2015-06-27,2015,6,27,ALERTA,PREEMERGENCIA
2015-06-28,2015,6,28,ALERTA ,ALERTA
2015-06-29,2015,6,29,ALERTA,PREEMERGENCIA
2015-06-30,2015,6,30,PREALERTA,PREEMERGENCIA
2015-07-01,2015,7,1,PREALERTA,PREEMERGENCIA
2015-07-02,2015,7,2,PREALERTA,PREEMERGENCIA
2015-07-03,2015,7,3,ALERTA,PREEMERGENCIA
2015-07-04,2015,7,4,PREALERTA,PREEMERGENCIA
2015-07-05,2015,7,5,ALERTA ,ALERTA
2015-07-06,2015,7,6,REGULAR ,REGULAR
2015-07-07,2015,7,7,ALERTA ,ALERTA
2015-07-08,2015,7,8,ALERTA ,ALERTA
2015-07-09,2015,7,9,ALERTA ,ALERTA
2015-07-10,2015,7,10,REGULAR ,REGULAR
2015-07-11,2015,7,11,REGULAR ,REGULAR
2015-07-12,2015,7,12,REGULAR ,REGULAR
2015-07-13,2015,7,13,REGULAR ,REGULAR
2015-07-14,2015,7,14,REGULAR ,REGULAR
2015-07-15,2015,7,15,REGULAR ,REGULAR
2015-07-16,2015,7,16,ALERTA ,ALERTA
2015-07-17,2015,7,17,ALERTA ,ALERTA
2015-07-18,2015,7,18,ALERTA ,ALERTA
2015-07-19,2015,7,19,ALERTA ,ALERTA
2015-07-20,2015,7,20,REGULAR ,REGULAR
2015-07-21,2015,7,21,ALERTA ,ALERTA
2015-07-22,2015,7,22,ALERTA,PREEMERGENCIA
2015-07-23,2015,7,23,ALERTA ,ALERTA
2015-07-24,2015,7,24,ALERTA,PREEMERGENCIA
2015-07-25,2015,7,25,ALERTA ,ALERTA
2015-07-26,2015,7,26,ALERTA,PREEMERGENCIA
2015-07-27,2015,7,27,ALERTA ,ALERTA
2015-07-28,2015,7,28,REGULAR ,REGULAR
2015-07-29,2015,7,29,REGULAR ,REGULAR
2015-07-30,2015,7,30,REGULAR ,REGULAR
2015-07-31,2015,7,31,REGULAR ,REGULAR
2015-08-01,2015,8,1,REGULAR ,REGULAR
2015-08-02,2015,8,2,REGULAR ,REGULAR
2015-08-03,2015,8,3,REGULAR ,REGULAR
2015-08-04,2015,8,4,ALERTA ,ALERTA
2015-08-05,2015,8,5,REGULAR ,REGULAR
2015-08-06,2015,8,6,BUENO ,BUENO
2015-08-07,2015,8,7,BUENO ,BUENO
2015-08-08,2015,8,8,BUENO ,BUENO
2015-08-09,2015,8,9,BUENO ,BUENO
2015-08-10,2015,8,10,BUENO ,BUENO
2015-08-11,2015,8,11,BUENO ,BUENO
2015-08-12,2015,8,12,BUENO ,BUENO
2015-08-13,2015,8,13,BUENO ,BUENO
2015-08-15,2015,8,15,REGULAR ,REGULAR
2015-08-16,2015,8,16,REGULAR ,REGULAR
2015-08-17,2015,8,17,REGULAR ,REGULAR
2015-08-18,2015,8,18,REGULAR ,REGULAR
2015-08-19,2015,8,19,REGULAR ,REGULAR
2015-08-20,2015,8,20,REGULAR ,REGULAR
2015-08-21,2015,8,21,BUENO ,BUENO
2015-08-22,2015,8,22,BUENO ,BUENO
2015-08-23,2015,8,23,BUENO ,BUENO
2015-08-24,2015,8,24,REGULAR ,REGULAR
2015-08-25,2015,8,25,REGULAR ,REGULAR
2015-08-26,2015,8,26,BUENO ,BUENO
2015-08-27,2015,8,27,BUENO ,BUENO
2015-08-28,2015,8,28,REGULAR ,REGULAR
2015-08-29,2015,8,29,REGULAR ,REGULAR
2015-08-30,2015,8,30,REGULAR ,REGULAR
2015-08-31,2015,8,31,REGULAR ,REGULAR
2016-04-01,2016,4,1,BUENO ,BUENO
2016-04-02,2016,4,2,BUENO ,BUENO
2016-04-03,2016,4,3,BUENO ,BUENO
2016-04-04,2016,4,4,BUENO ,BUENO
2016-04-04,2016,4,4,BUENO ,BUENO
2016-04-05,2016,4,5,BUENO ,BUENO
2016-04-06,2016,4,6,REGULAR ,REGULAR
2016-04-07,2016,4,7,BUENO ,BUENO
2016-04-08,2016,4,8,BUENO ,BUENO
2016-04-09,2016,4,9,BUENO ,BUENO
2016-04-10,2016,4,10,BUENO ,BUENO
2016-04-11,2016,4,11,REGULAR ,REGULAR
2016-04-12,2016,4,12,BUENO ,BUENO
2016-04-13,2016,4,13,BUENO ,BUENO
2016-04-14,2016,4,14,BUENO ,BUENO
2016-04-15,2016,4,15,BUENO ,BUENO
2016-04-16,2016,4,16,BUENO ,BUENO
2016-04-17,2016,4,17,BUENO ,BUENO
2016-04-18,2016,4,18,BUENO ,BUENO
2016-04-19,2016,4,19,BUENO ,BUENO
2016-04-20,2016,4,20,BUENO ,BUENO
2016-04-21,2016,4,21,REGULAR ,REGULAR
2016-04-22,2016,4,22,BUENO ,BUENO
2016-04-23,2016,4,23,BUENO ,BUENO
2016-04-24,2016,4,24,BUENO ,BUENO
2016-04-25,2016,4,25,BUENO ,BUENO
2016-04-26,2016,4,26,REGULAR ,REGULAR
2016-04-27,2016,4,27,REGULAR ,REGULAR
2016-04-28,2016,4,28,REGULAR ,REGULAR
2016-04-29,2016,4,29,REGULAR ,REGULAR
2016-04-30,2016,4,30,ALERTA ,ALERTA
2016-05-01,2016,5,1,ALERTA ,ALERTA
2016-05-02,2016,5,2,REGULAR ,REGULAR
2016-05-03,2016,5,3,REGULAR ,REGULAR
2016-05-04,2016,5,4,REGULAR ,REGULAR
2016-05-05,2016,5,5,REGULAR ,REGULAR
2016-05-06,2016,5,6,REGULAR ,REGULAR
2016-05-07,2016,5,7,REGULAR ,REGULAR
2016-05-08,2016,5,8,REGULAR ,REGULAR
2016-05-09,2016,5,9,REGULAR ,REGULAR
2016-05-10,2016,5,10,REGULAR ,REGULAR
2016-05-11,2016,5,11,REGULAR ,REGULAR
2016-05-12,2016,5,12,REGULAR ,REGULAR
2016-05-13,2016,5,13,REGULAR ,REGULAR
2016-05-14,2016,5,14,REGULAR ,REGULAR
2016-05-15,2016,5,15,REGULAR ,REGULAR
2016-05-16,2016,5,16,REGULAR ,REGULAR
2016-05-17,2016,5,17,REGULAR ,REGULAR
2016-05-18,2016,5,18,REGULAR ,REGULAR
2016-05-19,2016,5,19,REGULAR ,REGULAR
2016-05-20,2016,5,20,REGULAR ,REGULAR
2016-05-21,2016,5,21,REGULAR ,REGULAR
2016-05-22,2016,5,22,REGULAR ,REGULAR
2016-05-23,2016,5,23,ALERTA ,ALERTA
2016-05-24,2016,5,24,REGULAR ,REGULAR
2016-05-25,2016,5,25,REGULAR ,REGULAR
2016-05-26,2016,5,26,REGULAR ,REGULAR
2016-05-27,2016,5,27,ALERTA ,ALERTA
2016-05-28,2016,5,28,ALERTA ,ALERTA
2016-05-29,2016,5,29,ALERTA ,ALERTA
2016-05-30,2016,5,30,REGULAR ,REGULAR
2016-05-31,2016,5,31,REGULAR ,REGULAR
2016-06-01,2016,6,1,REGULAR ,REGULAR
2016-06-02,2016,6,2,BUENO ,BUENO
2016-06-03,2016,6,3,REGULAR ,REGULAR
2016-06-04,2016,6,4,REGULAR ,REGULAR
2016-06-05,2016,6,5,REGULAR ,REGULAR
2016-06-06,2016,6,6,REGULAR ,REGULAR
2016-06-07,2016,6,7,REGULAR ,REGULAR
2016-06-08,2016,6,8,ALERTA ,ALERTA
2016-06-09,2016,6,9,ALERTA ,PREEMERGENCIA
2016-06-10,2016,6,10,ALERTA ,ALERTA
2016-06-11,2016,6,11,ALERTA ,ALERTA
2016-06-12,2016,6,12,ALERTA ,ALERTA
2016-06-13,2016,6,13,ALERTA ,ALERTA
2016-06-14,2016,6,14,REGULAR ,REGULAR
2016-06-15,2016,6,15,ALERTA ,ALERTA
2016-06-16,2016,6,16,ALERTA,PREEMERGENCIA
2016-06-17,2016,6,17,ALERTA ,ALERTA
2016-06-18,2016,6,18,ALERTA,PREEMERGENCIA
2016-06-19,2016,6,19,ALERTA,PREEMERGENCIAMP
2016-06-20,2016,6,20,ALERTA,PREEMERGENCIA
2016-06-21,2016,6,21,ALERTA ,PREEMERGENCIA
2016-06-22,2016,6,22,ALERTA,PREEMERGENCIA
2016-06-23,2016,6,23,ALERTA,PREEMERGENCIA
2016-06-24,2016,6,24,ALERTA ,ALERTA
2016-06-25,2016,6,25,ALERTA ,ALERTA
2016-06-26,2016,6,26,ALERTA,PREEMERGENCIA
2016-06-27,2016,6,27,ALERTA,EMERGENCIA
2016-06-28,2016,6,28,ALERTA,PREEMERGENCIA
2016-06-29,2016,6,29,ALERTA ,ALERTA
2016-06-30,2016,6,30,ALERTA ,ALERTA
2016-07-01,2016,7,1,ALERTA,PREEMERGENCIA
2016-07-02,2016,7,2,ALERTA,PREEMERGENCIA
2016-07-03,2016,7,3,REGULAR ,REGULAR
2016-07-04,2016,7,4,REGULAR ,REGULAR
2016-07-05,2016,7,5,REGULAR ,REGULAR
2016-07-06,2016,7,6,ALERTA ,ALERTA
2016-07-07,2016,7,7,ALERTA ,ALERTA
2016-07-08,2016,7,8,ALERTA,PREEMERGENCIA
2016-07-09,2016,7,9,ALERTA ,ALERTA
2016-07-10,2016,7,10,ALERTA ,ALERTA
2016-07-11,2016,7,11,ALERTA ,ALERTA
2016-07-12,2016,7,12,REGULAR ,REGULAR
2016-07-13,2016,7,13,BUENO ,BUENO
2016-07-14,2016,7,14,BUENO ,BUENO
2016-07-15,2016,7,15,REGULAR ,REGULAR
2016-07-16,2016,7,16,ALERTA ,ALERTA
2016-07-17,2016,7,17,ALERTA,PREEMERGENCIA
2016-07-18,2016,7,18,ALERTA ,ALERTA
2016-07-19,2016,7,19,ALERTA ,ALERTA
2016-07-20,2016,7,20,REGULAR ,REGULAR
2016-07-21,2016,7,21,REGULAR ,REGULAR
2016-07-22,2016,7,22,ALERTA ,ALERTA
2016-07-23,2016,7,23,REGULAR ,REGULAR
2016-07-24,2016,7,24,REGULAR ,REGULAR
2016-07-25,2016,7,25,BUENO ,BUENO
2016-07-26,2016,7,26,ALERTA ,ALERTA
2016-07-27,2016,7,27,ALERTA ,ALERTA
2016-07-28,2016,7,28,ALERTA ,ALERTA
2016-07-29,2016,7,29,REGULAR ,REGULAR
2016-07-30,2016,7,30,REGULAR ,REGULAR
2016-07-31,2016,7,31,REGULAR ,REGULAR
2016-08-01,2016,8,1,REGULAR ,REGULAR
2016-08-02,2016,8,2,ALERTA ,ALERTA
2016-08-03,2016,8,3,REGULAR ,REGULAR
2016-08-04,2016,8,4,REGULAR ,REGULAR
2016-08-05,2016,8,5,REGULAR ,REGULAR
2016-08-06,2016,8,6,REGULAR ,REGULAR
2016-08-07,2016,8,7,REGULAR ,REGULAR
2016-08-08,2016,8,8,REGULAR ,REGULAR
2016-08-09,2016,8,9,REGULAR ,REGULAR
2016-08-10,2016,8,10,REGULAR ,REGULAR
2016-08-11,2016,8,11,REGULAR ,REGULAR
2016-08-12,2016,8,12,REGULAR ,REGULAR
2016-08-13,2016,8,13,REGULAR ,REGULAR
2016-08-14,2016,8,14,REGULAR ,REGULAR
2016-08-15,2016,8,15,ALERTA ,ALERTA
2016-08-16,2016,8,16,REGULAR ,REGULAR
2016-08-17,2016,8,17,REGULAR ,REGULAR
2016-08-18,2016,8,18,BUENO ,BUENO
2016-08-19,2016,8,19,BUENO ,BUENO
2016-08-20,2016,8,20,REGULAR ,REGULAR
2016-08-21,2016,8,21,REGULAR ,REGULAR
2016-08-22,2016,8,22,REGULAR ,REGULAR
2016-08-23,2016,8,23,REGULAR ,REGULAR
2016-08-24,2016,8,24,REGULAR ,REGULAR
2016-08-25,2016,8,25,REGULAR ,REGULAR
2016-08-26,2016,8,26,BUENO ,BUENO
2016-08-27,2016,8,27,BUENO ,BUENO
2016-08-28,2016,8,28,BUENO ,BUENO
2016-08-29,2016,8,29,BUENO ,BUENO
2016-08-30,2016,8,30,REGULAR ,REGULAR
2016-08-31,2016,8,31,BUENO ,BUENO
2017-04-01,2017,4,1,BUENO ,BUENO
2017-04-02,2017,4,2,BUENO ,BUENO
2017-04-03,2017,4,3,BUENO ,BUENO
2017-04-05,2017,4,5,BUENO ,BUENO
2017-04-06,2017,4,6,BUENO ,BUENO
2017-04-07,2017,4,7,BUENO ,BUENO
2017-04-08,2017,4,8,BUENO ,BUENO
2017-04-09,2017,4,9,BUENO ,BUENO
2017-04-10,2017,4,10,BUENO ,BUENO
2017-04-11,2017,4,11,REGULAR ,REGULAR
2017-04-12,2017,4,12,BUENO ,BUENO
2017-04-13,2017,4,13,BUENO ,BUENO
2017-04-14,2017,4,14,BUENO ,BUENO
2017-04-15,2017,4,15,BUENO ,BUENO
2017-04-16,2017,4,16,BUENO ,BUENO
2017-04-17,2017,4,17,BUENO ,BUENO
2017-04-18,2017,4,18,BUENO ,BUENO
2017-04-19,2017,4,19,BUENO ,BUENO
2017-04-20,2017,4,20,BUENO ,BUENO
2017-04-21,2017,4,21,BUENO ,BUENO
2017-04-22,2017,4,22,BUENO ,BUENO
2017-04-23,2017,4,23,BUENO ,BUENO
2017-04-24,2017,4,24,BUENO ,BUENO
2017-04-25,2017,4,25,BUENO ,BUENO
2017-04-26,2017,4,26,BUENO ,BUENO
2017-04-27,2017,4,27,BUENO ,BUENO
2017-04-28,2017,4,28,REGULAR ,REGULAR
2017-04-29,2017,4,29,REGULAR ,REGULAR
